budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.0, 0.0)","(0.18666666666666668, 0.13020130933435714)","(0.013333333333333334, 0.035186577527449844)","(0.07333333333333333, 0.09611501047232549)","(0.05333333333333334, 0.07432233529572066)","(0.06533333333333334, 0.044379317362075434)","(175.5106470811569, 21.516633015919155)","(37.773753242272264, 17.254272253690566)"
2,"(0.0, 0.0)","(0.2, 0.18126539343499315)","(0.03333333333333333, 0.048795003647426664)","(0.06666666666666667, 0.08164965809277261)","(0.04666666666666667, 0.0833809387832792)","(0.06933333333333333, 0.05175031630913224)","(256.24220810752206, 48.93340656490592)","(37.74130422153588, 17.278244035378588)"
3,"(0.0, 0.0)","(0.16666666666666666, 0.16329931618554522)","(0.02, 0.041403933560541256)","(0.08, 0.10141851056742199)","(0.060000000000000005, 0.09102589898327995)","(0.06533333333333334, 0.04808722234004531)","(337.0616018553226, 75.49803683429032)","(37.71318301833623, 17.25929661979539)"
4,"(0.0, 0.0)","(0.21333333333333335, 0.1505545305418162)","(0.02, 0.041403933560541256)","(0.06666666666666667, 0.06172133998483677)","(0.04666666666666667, 0.051639777949432225)","(0.06933333333333333, 0.04832430129073875)","(415.8277364486479, 102.3163435041381)","(37.62052183660368, 17.215840863782123)"
5,"(0.006666666666666667, 0.025819888974716113)","(0.2, 0.13093073414159545)","(0.02666666666666667, 0.04577377082170635)","(0.07333333333333333, 0.08837151016885368)","(0.03333333333333333, 0.06172133998483677)","(0.068, 0.04262795863213317)","(499.90025773390664, 130.76258975222478)","(37.713860657073866, 17.264467691356007)"
1,"(0.0, 0.0)","(0.18666666666666668, 0.13020130933435714)","(0.013333333333333334, 0.035186577527449844)","(0.060000000000000005, 0.07367883976130073)","(0.04666666666666667, 0.07432233529572066)","(0.06133333333333334, 0.043072474914243035)","(167.5124064811583, 21.367394003767593)","(38.01637698200066, 17.348799165566156)"
2,"(0.0, 0.0)","(0.2, 0.18126539343499315)","(0.02666666666666667, 0.04577377082170635)","(0.060000000000000005, 0.07367883976130073)","(0.05333333333333334, 0.0915475416434127)","(0.068, 0.04887301329539062)","(244.55582054189097, 43.17049152908358)","(38.02282645914238, 17.417942551304776)"
3,"(0.0, 0.0)","(0.17333333333333334, 0.17099150633319551)","(0.02, 0.041403933560541256)","(0.08, 0.10141851056742199)","(0.07333333333333333, 0.08837151016885368)","(0.06933333333333333, 0.051750316309132245)","(319.2663238353251, 71.94716422955925)","(37.940402948608, 17.336895718212403)"
4,"(0.0, 0.0)","(0.20666666666666667, 0.14375905768565217)","(0.006666666666666667, 0.025819888974716113)","(0.060000000000000005, 0.0632455532033676)","(0.04666666666666667, 0.051639777949432225)","(0.064, 0.041541717414116205)","(400.98816267959774, 94.0139518240957)","(38.018760017786796, 17.442860247884198)"
5,"(0.006666666666666667, 0.025819888974716113)","(0.18666666666666668, 0.11872336794093274)","(0.02666666666666667, 0.04577377082170635)","(0.08666666666666667, 0.0915475416434127)","(0.04666666666666667, 0.07432233529572066)","(0.07066666666666667, 0.04589843860815602)","(484.93717722862493, 121.58425620280269)","(38.087006841545616, 17.53308388285098)"
